Strategy,MinProcessingTime,MaxProcessingTime,AvgProcessingTime,MinStartUpTime,MaxStartUpTime,AvgStartUpTime,MinNextResponseTime,MaxNextResponseTime,AvgNextResponseTime,MinBatchProcessingTime,MaxBatchProcessingTime,AvgBatchProcessingTime,MinBatchSize,MaxBatchSize,AvgBatchSize,minSequenceLength,maxSequenceLength,AvgSequenceLength,MinWaitTime,MaxWaitTime,AvgWaitTime,TotalSentQueries,TotalBatches,TotalExecutionTime
keda_p0_hpa30_d0%0,343431,2534730,690356,86035789,157424355,112122919,1238936,21458814546,3569389608,463473,30974552027,6907246771,1,4,1,1,6,3,0,0,0,118,61,421653307162
keda_p0_hpa30_d100%150,104904410,816552654,450856615,91186163,175018237,113534181,15827169,10532711285,3217315603,490524,25849391446,6225298473,1,4,1,1,6,3,104,815,449,118,61,380096391843
keda_p0_hpa30_d100%150,111033254,820167856,450496131,81596347,271502234,113916215,7994824,9916955184,3096276723,338795,19945785627,5991125709,1,4,1,1,6,3,110,819,449,118,61,365804787182
keda_p0_hpa30_d3000%5000,3046632499,26580199492,14632892239,86358157,166008190,106790314,29335892,1791385820793,26089600077,503368,1807943555467,50470192486,1,4,1,1,6,3,3045,26579,14631,118,61,3079015488791
keda_p0_hpa30_d500%1000,627588577,5199768503,2728480709,89249502,178817769,111049187,77966519,19754950607,4688835805,447319,36240484740,9072314141,1,4,1,1,6,3,626,5198,2727,118,61,553737312861
keda_p0_hpa30_d5000%10000,6767932606,54324663554,26881287163,82125959,164598413,108382057,97708463,81429423516,20669471907,478975,110249799508,39985060999,1,4,1,1,6,3,6767,54323,26879,118,61,2439422564532
keda_p0_hpa30_d5000%10000,6132233039,48261212683,26784484404,84228236,162724704,108206885,292013253,74249708318,19028776676,472741,98010758499,36811586780,1,4,1,1,6,3,6131,48260,26783,118,61,2245853083767
keda_p0_hpa5_d0%0,328716,2263881,661008,82923646,183704193,104709866,916512,18909718908,2950507595,463511,23936376098,5709203179,1,4,1,1,6,3,0,0,0,118,61,348586970664
keda_p0_hpa5_d0%0,324200,1921090,662888,83649617,160331087,106901396,1605084,15612781841,3521592338,408502,23273918874,6813784678,1,4,1,1,6,3,0,0,0,118,61,415932259815
keda_p0_hpa5_d0%0,346519,2269423,678835,86065371,309371015,105466174,1586234,15725561793,3355472853,288881,22909769144,6493175256,1,4,1,1,6,3,0,0,0,118,61,396525517748
keda_p0_hpa5_d0%0,353506,2599605,704341,87095788,183930425,113727582,1962378,9398081812,2992988942,443411,21364556913,5791862161,1,4,1,1,6,3,0,0,0,118,61,353620148149
keda_p0_hpa5_d0%0,351067,2397257,693261,88427591,447849550,113781741,2451929,14044785699,2787354426,422981,19069634346,5394848641,1,4,1,1,6,3,0,0,0,118,61,329403181007
keda_p0_hpa5_d0%0,361146,3593629,737411,88887809,217658449,114122531,1475240,9482038492,3068678868,514606,19362604848,5937718676,1,4,1,1,6,3,0,0,0,118,61,362532277899
keda_p0_hpa5_d100%150,104979856,831341690,448036967,88964006,159298896,110423971,1018451,19763711615,3516544390,430101,35849964157,6805810782,1,4,1,1,6,3,104,830,446,118,61,415546826163
keda_p0_hpa5_d3000%5000,3897618616,24601979359,14253245376,85116252,256191224,108996837,61497248,377537268213,15728239290,322610,462755840250,30426875687,1,4,1,1,6,3,3896,24598,14251,118,61,1856340232952
keda_p0_hpa5_d3000%5000,3402014672,26256915577,14469485476,87187885,172787835,107778332,18255415,42144439179,10648728329,616527,84004081606,20601186841,1,4,1,1,6,3,3401,26255,14468,118,61,1257016050585
keda_p0_hpa5_d500%1000,799603662,4642179688,2684745200,90033009,252786166,113946666,12401593,14686933811,3989900213,571305,23660149356,7720952285,1,4,1,1,6,3,798,4641,2683,118,61,471299094338
keda_p0_hpa5_d500%1000,511828193,4818169209,2688135504,88830060,163572282,109746157,4491838,10749455115,3603069479,576386,18024881844,6971727481,1,4,1,1,6,3,511,4817,2686,118,61,425588089339
keda_p0_hpa5_d5000%10000,6258299197,50437094534,27243858777,87775736,159284967,108505498,261870575,66297673966,19819664631,474165,104601408254,38341260997,1,4,1,1,6,3,6257,50436,27242,118,61,2339198566941
keda_p0_hpa5_d5000%10000,5665241077,49615429868,26869481829,87486621,167125196,107050826,27359622,66344902773,18057403622,444407,79985816396,35228476342,1,4,1,1,6,3,5664,49614,26868,119,61,2149245418894
keda_p0_hpa5_d5000%10000,6082013169,47736349154,26774740634,86409621,145345881,107065025,52523277,69438813703,20099149492,350368,105650502308,38882062088,1,4,1,1,6,3,6080,47735,26773,118,61,2372575121485
keda_p0_hpa530_d0%0,364594,1940884,661106,80949513,191969843,112441985,1585795,8276111467,2989081591,354605,20710543316,5784087187,1,4,1,1,6,3,0,0,0,118,61,353302641245
keda_p0_hpa530_d0%0,346732,2167672,767711,89824487,164033033,109551063,9204216,8127980909,2968003213,496032,19361068732,5743182039,1,4,1,1,6,3,0,0,0,118,61,350672132512
keda_p0_hpa530_d0%0,362422,1768192,698575,84977415,348840008,114980990,961785,9968022020,2997714643,528128,21140430698,5801261998,1,4,1,1,6,3,0,0,0,118,61,354193194452
keda_p0_hpa530_d100%150,118772959,781970641,447575461,88312621,254321922,111987413,18126503,9264188596,3034744409,499003,20150944972,5872244619,1,4,1,1,6,3,118,781,446,118,61,358506041924
keda_p0_hpa530_d100%150,101096296,802340564,453543427,81188737,404981738,113545300,1303842,295696273968,6205986414,342888,304337468017,12009836196,1,4,1,1,6,3,100,801,452,118,61,732916624406
keda_p0_hpa530_d100%150,103492487,770516205,448643093,90223204,243709050,112394605,18259993,256426330619,5194042886,390383,264075226861,10050684418,1,4,1,1,6,3,102,769,447,118,61,613407167554
keda_p0_hpa530_d3000%5000,3359897324,25885887454,14072460977,85913253,156509875,107025212,202807681,233163790404,13083716858,423921,274213006969,25310934586,1,4,1,1,6,3,3358,25885,14071,118,61,1544308288306
keda_p0_hpa530_d500%1000,774972374,5025620505,2725309669,90191070,168153046,109543590,44606726,10755176048,3754924158,440445,20967481879,7268077134,1,4,1,1,6,3,774,5024,2724,118,61,443707983088
keda_p0_hpa530_d5000%10000,5279170470,47447991453,27198576815,85922406,162836910,106460015,338456002,75699741054,21034003642,328950,107740569470,40690564366,1,4,1,1,6,3,5278,47447,27197,118,61,2482445418521
keda_p0_hpa530_d5000%10000,7485292238,50729017736,26766374174,87371305,163683891,108863351,139672012,75780493823,19356689192,390258,104964216423,37446091793,1,4,1,1,6,3,7484,50728,26765,118,61,2284533973088
keda_p1_hpa15_d0%0,355881,2977606,698644,89629079,502304418,113539330,8599122,14683091235,3265910524,401715,24124498394,6319083935,1,4,1,1,6,3,0,0,0,118,61,386003296850
keda_p1_hpa15_d0%0,360956,3621720,727429,91230069,208530997,111647182,2519668,241907677931,5201128734,324310,249689129927,10062614068,1,4,1,1,6,3,0,0,0,118,61,614126091141
keda_p1_hpa15_d0%0,362754,3609178,704116,88905956,292342637,112210824,2938888,17504398180,3859711953,374322,24314190682,7467987044,1,4,1,1,6,3,0,0,0,118,61,456070030788
keda_p1_hpa15_d100%150,100754271,783608658,444188379,88215603,209391204,112147958,3164467,257864760816,6024379319,527340,262357241232,11655359744,1,4,1,1,6,3,100,782,442,118,61,711318443447
